id;team_fifa_api_id;team_api_id;date;buildUpPlaySpeed;buildUpPlaySpeedClass;buildUpPlayDribbling;buildUpPlayDribblingClass;buildUpPlayPassing;buildUpPlayPassingClass;buildUpPlayPositioningClass;chanceCreationPassing;chanceCreationPassingClass;chanceCreationCrossing;chanceCreationCrossingClass;chanceCreationShooting;chanceCreationShootingClass;chanceCreationPositioningClass;defencePressure;defencePressureClass;defenceAggression;defenceAggressionClass;defenceTeamWidth;defenceTeamWidthClass;defenceDefenderLineClass
2;434;9930;2014-09-19 00:00:00;52;Balanced;48;Normal;56;Mixed;Organised;54;Normal;63;Normal;64;Normal;Organised;47;Medium;44;Press;54;Normal;Cover
3;434;9930;2015-09-10 00:00:00;47;Balanced;41;Normal;54;Mixed;Organised;54;Normal;63;Normal;64;Normal;Organised;47;Medium;44;Press;54;Normal;Cover
8;77;8485;2014-09-19 00:00:00;58;Balanced;64;Normal;62;Mixed;Organised;56;Normal;68;Lots;57;Normal;Organised;41;Medium;42;Press;60;Normal;Cover
9;77;8485;2015-09-10 00:00:00;59;Balanced;64;Normal;53;Mixed;Organised;51;Normal;72;Lots;63;Normal;Free Form;49;Medium;45;Press;63;Normal;Cover
14;614;8576;2014-09-19 00:00:00;59;Balanced;57;Normal;52;Mixed;Organised;48;Normal;38;Normal;52;Normal;Organised;38;Medium;47;Press;53;Normal;Cover
15;614;8576;2015-09-10 00:00:00;59;Balanced;57;Normal;52;Mixed;Organised;48;Normal;38;Normal;52;Normal;Organised;38;Medium;47;Press;53;Normal;Cover
20;47;8564;2014-09-19 00:00:00;48;Balanced;70;Lots;52;Mixed;Organised;66;Normal;36;Normal;75;Lots;Organised;58;Medium;57;Press;49;Normal;Cover
21;47;8564;2015-09-10 00:00:00;48;Balanced;70;Lots;52;Mixed;Organised;66;Normal;36;Normal;69;Lots;Organised;58;Medium;57;Press;49;Normal;Cover
26;1901;10215;2014-09-19 00:00:00;52;Balanced;53;Normal;44;Mixed;Organised;55;Normal;51;Normal;60;Normal;Organised;39;Medium;38;Press;61;Normal;Cover
27;1901;10215;2015-09-10 00:00:00;53;Balanced;53;Normal;44;Mixed;Organised;55;Normal;51;Normal;60;Normal;Organised;39;Medium;38;Press;61;Normal;Cover
32;650;10217;2014-09-19 00:00:00;58;Balanced;47;Normal;55;Mixed;Organised;55;Normal;52;Normal;44;Normal;Organised;57;Medium;50;Press;52;Normal;Cover
33;650;10217;2015-09-10 00:00:00;56;Balanced;40;Normal;66;Mixed;Organised;55;Normal;52;Normal;38;Normal;Organised;40;Medium;50;Press;52;Normal;Cover
38;245;8593;2014-09-19 00:00:00;40;Balanced;40;Normal;30;Short;Organised;51;Normal;55;Normal;39;Normal;Free Form;64;Medium;53;Press;64;Normal;Cover
39;245;8593;2015-09-10 00:00:00;35;Balanced;43;Normal;39;Mixed;Organised;58;Normal;55;Normal;30;Little;Free Form;64;Medium;53;Press;59;Normal;Cover
44;1861;9865;2014-09-19 00:00:00;46;Balanced;41;Normal;65;Mixed;Organised;57;Normal;54;Normal;40;Normal;Organised;37;Medium;53;Press;45;Normal;Cover
45;1861;9865;2015-09-10 00:00:00;46;Balanced;41;Normal;65;Mixed;Organised;57;Normal;54;Normal;40;Normal;Organised;37;Medium;53;Press;45;Normal;Cover
50;229;8635;2014-09-19 00:00:00;52;Balanced;46;Normal;51;Mixed;Organised;60;Normal;53;Normal;47;Normal;Organised;60;Medium;50;Press;65;Normal;Cover
51;229;8635;2015-09-10 00:00:00;52;Balanced;46;Normal;51;Mixed;Organised;60;Normal;53;Normal;47;Normal;Organised;53;Medium;50;Press;61;Normal;Cover
56;1530;8121;2014-09-19 00:00:00;48;Balanced;61;Normal;50;Mixed;Organised;40;Normal;52;Normal;48;Normal;Organised;44;Medium;44;Press;51;Normal;Cover
57;1530;8121;2015-09-10 00:00:00;48;Balanced;61;Normal;50;Mixed;Organised;40;Normal;52;Normal;48;Normal;Organised;44;Medium;44;Press;51;Normal;Cover
64;111989;108893;2014-09-19 00:00:00;39;Balanced;48;Normal;54;Mixed;Organised;49;Normal;40;Normal;43;Normal;Organised;44;Medium;53;Press;57;Normal;Cover
65;111989;108893;2015-09-10 00:00:00;56;Balanced;46;Normal;54;Mixed;Organised;55;Normal;40;Normal;43;Normal;Organised;48;Medium;53;Press;57;Normal;Cover
68;159;9912;2014-09-19 00:00:00;62;Balanced;49;Normal;55;Mixed;Organised;56;Normal;51;Normal;52;Normal;Organised;36;Medium;54;Press;48;Normal;Cover
69;112513;158085;2014-09-19 00:00:00;69;Fast;66;Normal;39;Mixed;Organised;55;Normal;59;Normal;46;Normal;Organised;35;Medium;37;Press;37;Normal;Cover
70;112513;158085;2015-09-10 00:00:00;65;Balanced;66;Normal;39;Mixed;Organised;55;Normal;59;Normal;46;Normal;Organised;37;Medium;39;Press;37;Normal;Cover
75;1;9825;2014-09-19 00:00:00;59;Balanced;51;Normal;26;Short;Organised;28;Safe;55;Normal;64;Normal;Free Form;51;Medium;44;Press;52;Normal;Cover
76;1;9825;2015-09-10 00:00:00;59;Balanced;51;Normal;30;Short;Organised;28;Safe;44;Normal;46;Normal;Free Form;51;Medium;44;Press;52;Normal;Cover
81;2;10252;2014-09-19 00:00:00;66;Balanced;32;Little;72;Long;Organised;63;Normal;48;Normal;56;Normal;Organised;39;Medium;42;Press;52;Normal;Cover
82;2;10252;2015-09-10 00:00:00;63;Balanced;37;Normal;54;Mixed;Organised;60;Normal;48;Normal;38;Normal;Organised;35;Medium;44;Press;54;Normal;Cover
87;39;8524;2014-09-19 00:00:00;64;Balanced;45;Normal;37;Mixed;Organised;38;Normal;49;Normal;51;Normal;Organised;36;Medium;66;Press;49;Normal;Cover
88;39;8524;2015-09-10 00:00:00;64;Balanced;45;Normal;37;Mixed;Organised;38;Normal;49;Normal;51;Normal;Organised;36;Medium;63;Press;49;Normal;Cover
93;448;8315;2014-09-19 00:00:00;46;Balanced;41;Normal;38;Mixed;Organised;52;Normal;68;Lots;37;Normal;Organised;37;Medium;60;Press;65;Normal;Cover
94;448;8315;2015-09-10 00:00:00;46;Balanced;46;Normal;39;Mixed;Organised;50;Normal;60;Normal;36;Normal;Free Form;49;Medium;57;Press;50;Normal;Cover
99;240;9906;2014-09-19 00:00:00;47;Balanced;52;Normal;51;Mixed;Organised;67;Risky;67;Lots;54;Normal;Organised;52;Medium;37;Press;55;Normal;Cover
100;240;9906;2015-09-10 00:00:00;57;Balanced;50;Normal;50;Mixed;Organised;61;Normal;62;Normal;49;Normal;Organised;49;Medium;42;Press;52;Normal;Cover
105;100409;8406;2014-09-19 00:00:00;62;Balanced;38;Normal;69;Long;Organised;41;Normal;63;Normal;56;Normal;Organised;47;Medium;55;Press;52;Normal;Cover
106;100409;8406;2015-09-10 00:00:00;59;Balanced;51;Normal;55;Mixed;Organised;49;Normal;62;Normal;55;Normal;Organised;34;Medium;50;Press;59;Normal;Cover
111;57;8583;2014-09-19 00:00:00;64;Balanced;55;Normal;49;Mixed;Organised;51;Normal;63;Normal;50;Normal;Organised;34;Medium;45;Press;36;Normal;Cover
112;57;8583;2015-09-10 00:00:00;64;Balanced;55;Normal;49;Mixed;Organised;51;Normal;63;Normal;50;Normal;Organised;34;Medium;45;Press;40;Normal;Cover
117;1906;10229;2014-09-19 00:00:00;52;Balanced;38;Normal;46;Mixed;Organised;60;Normal;56;Normal;52;Normal;Free Form;50;Medium;61;Press;55;Normal;Cover
118;1906;10229;2015-09-10 00:00:00;50;Balanced;46;Normal;58;Mixed;Organised;67;Risky;56;Normal;50;Normal;Organised;50;Medium;61;Press;55;Normal;Cover
123;241;8634;2014-09-19 00:00:00;35;Balanced;35;Normal;32;Short;Free Form;37;Normal;31;Little;35;Normal;Free Form;61;Medium;63;Press;65;Normal;Cover
124;241;8634;2015-09-10 00:00:00;36;Balanced;35;Normal;51;Mixed;Free Form;36;Normal;49;Normal;56;Normal;Free Form;61;Medium;65;Press;65;Normal;Cover
129;1848;9976;2014-09-19 00:00:00;55;Balanced;40;Normal;57;Mixed;Organised;54;Normal;44;Normal;56;Normal;Organised;49;Medium;51;Press;53;Normal;Cover
130;1848;9976;2015-09-10 00:00:00;52;Balanced;40;Normal;65;Mixed;Organised;40;Normal;55;Normal;48;Normal;Organised;50;Medium;51;Press;55;Normal;Cover
135;896;9931;2014-09-19 00:00:00;61;Balanced;63;Normal;46;Mixed;Organised;66;Normal;66;Normal;54;Normal;Organised;47;Medium;58;Press;53;Normal;Cover
136;896;9931;2015-09-10 00:00:00;61;Balanced;63;Normal;46;Mixed;Organised;66;Normal;66;Normal;54;Normal;Organised;47;Medium;58;Press;53;Normal;Cover
141;32;8178;2014-09-19 00:00:00;69;Fast;30;Little;55;Mixed;Organised;52;Normal;55;Normal;39;Normal;Organised;50;Medium;46;Press;54;Normal;Cover
142;32;8178;2015-09-10 00:00:00;73;Fast;29;Little;55;Mixed;Organised;77;Risky;54;Normal;61;Normal;Organised;61;Medium;72;Double;50;Normal;Cover
147;21;9823;2014-09-19 00:00:00;37;Balanced;34;Normal;22;Short;Free Form;21;Safe;38;Normal;40;Normal;Free Form;61;Medium;59;Press;40;Normal;Cover
148;21;9823;2015-09-10 00:00:00;45;Balanced;24;Little;28;Short;Free Form;37;Normal;31;Little;22;Little;Free Form;72;High;53;Press;59;Normal;Cover
157;1889;9807;2014-09-19 00:00:00;52;Balanced;53;Normal;52;Mixed;Organised;40;Normal;37;Normal;48;Normal;Organised;38;Medium;48;Press;49;Normal;Cover
158;1889;9807;2015-09-10 00:00:00;51;Balanced;53;Normal;52;Mixed;Organised;43;Normal;37;Normal;48;Normal;Organised;38;Medium;48;Press;49;Normal;Cover
165;234;9772;2014-09-19 00:00:00;70;Fast;55;Normal;53;Mixed;Organised;65;Normal;66;Normal;54;Normal;Organised;60;Medium;57;Press;54;Normal;Cover
166;234;9772;2015-09-10 00:00:00;69;Fast;55;Normal;53;Mixed;Organised;65;Normal;66;Normal;54;Normal;Organised;60;Medium;57;Press;54;Normal;Cover
171;88;8658;2014-09-19 00:00:00;56;Balanced;39;Normal;79;Long;Organised;77;Risky;71;Lots;56;Normal;Organised;42;Medium;48;Press;54;Normal;Cover
172;88;8658;2015-09-10 00:00:00;56;Balanced;32;Little;75;Long;Organised;77;Risky;62;Normal;64;Normal;Organised;42;Medium;47;Press;54;Normal;Cover
177;3;8655;2014-09-19 00:00:00;44;Balanced;31;Little;62;Mixed;Organised;63;Normal;61;Normal;40;Normal;Organised;50;Medium;50;Press;47;Normal;Cover
178;3;8655;2015-09-10 00:00:00;60;Balanced;60;Normal;65;Mixed;Organised;59;Normal;58;Normal;42;Normal;Organised;50;Medium;50;Press;57;Normal;Cover
183;1926;8483;2014-09-19 00:00:00;67;Fast;44;Normal;72;Long;Organised;70;Risky;48;Normal;58;Normal;Organised;39;Medium;38;Press;54;Normal;Cover
184;1926;8483;2015-09-10 00:00:00;62;Balanced;36;Normal;64;Mixed;Organised;59;Normal;43;Normal;64;Normal;Organised;39;Medium;38;Press;54;Normal;Cover
185;1898;8613;2015-09-10 00:00:00;47;Balanced;56;Normal;50;Mixed;Organised;37;Normal;38;Normal;53;Normal;Organised;32;Deep;62;Press;54;Normal;Cover
190;160;9911;2014-09-19 00:00:00;38;Balanced;54;Normal;48;Mixed;Organised;51;Normal;54;Normal;36;Normal;Organised;34;Medium;53;Press;49;Normal;Cover
191;160;9911;2015-09-10 00:00:00;69;Fast;38;Normal;57;Mixed;Organised;66;Normal;40;Normal;66;Normal;Organised;58;Medium;47;Press;67;Wide;Cover
196;189;9857;2014-09-19 00:00:00;63;Balanced;53;Normal;48;Mixed;Organised;32;Safe;48;Normal;52;Normal;Organised;28;Deep;54;Press;48;Normal;Cover
197;189;9857;2015-09-10 00:00:00;63;Balanced;53;Normal;48;Mixed;Organised;32;Safe;48;Normal;52;Normal;Organised;30;Deep;54;Press;48;Normal;Cover
202;4;8559;2014-09-19 00:00:00;57;Balanced;37;Normal;73;Long;Organised;72;Risky;43;Normal;56;Normal;Organised;39;Medium;48;Press;58;Normal;Cover
203;4;8559;2015-09-10 00:00:00;57;Balanced;34;Normal;61;Mixed;Organised;72;Risky;60;Normal;38;Normal;Organised;39;Medium;48;Press;58;Normal;Cover
208;59;9827;2014-09-19 00:00:00;38;Balanced;49;Normal;36;Mixed;Organised;49;Normal;55;Normal;51;Normal;Organised;37;Medium;33;Contain;49;Normal;Cover
209;59;9827;2015-09-10 00:00:00;51;Balanced;40;Normal;48;Mixed;Organised;49;Normal;63;Normal;44;Normal;Organised;57;Medium;52;Press;49;Normal;Cover
214;22;9789;2014-09-19 00:00:00;76;Fast;33;Little;61;Mixed;Organised;53;Normal;44;Normal;73;Lots;Free Form;60;Medium;68;Double;43;Normal;Cover
215;22;9789;2015-09-10 00:00:00;71;Fast;37;Normal;40;Mixed;Organised;70;Risky;44;Normal;49;Normal;Free Form;65;Medium;71;Double;40;Normal;Cover
220;23;9788;2014-09-19 00:00:00;31;Slow;53;Normal;32;Short;Organised;38;Normal;26;Little;49;Normal;Free Form;43;Medium;50;Press;41;Normal;Cover
221;23;9788;2015-09-10 00:00:00;31;Slow;53;Normal;32;Short;Organised;38;Normal;26;Little;49;Normal;Free Form;41;Medium;48;Press;39;Normal;Cover
229;1943;8678;2014-09-19 00:00:00;47;Balanced;44;Normal;48;Mixed;Organised;46;Normal;48;Normal;41;Normal;Organised;48;Medium;50;Press;62;Normal;Cover
230;1943;8678;2015-09-10 00:00:00;47;Balanced;36;Normal;47;Mixed;Organised;49;Normal;45;Normal;47;Normal;Organised;48;Medium;50;Press;62;Normal;Cover
235;1896;10264;2014-09-19 00:00:00;53;Balanced;35;Normal;55;Mixed;Organised;53;Normal;65;Normal;39;Normal;Organised;25;Deep;56;Press;39;Normal;Cover
236;1896;10264;2015-09-10 00:00:00;55;Balanced;35;Normal;55;Mixed;Organised;62;Normal;65;Normal;39;Normal;Organised;25;Deep;56;Press;39;Normal;Cover
241;190;9858;2014-09-19 00:00:00;42;Balanced;56;Normal;27;Short;Organised;54;Normal;25;Little;75;Lots;Organised;41;Medium;52;Press;57;Normal;Cover
242;190;9858;2015-09-10 00:00:00;42;Balanced;56;Normal;43;Mixed;Organised;41;Normal;48;Normal;69;Lots;Organised;41;Medium;52;Press;57;Normal;Cover
247;378;8521;2014-09-19 00:00:00;59;Balanced;48;Normal;54;Mixed;Organised;49;Normal;53;Normal;66;Normal;Organised;44;Medium;34;Press;51;Normal;Cover
248;378;8521;2015-09-10 00:00:00;59;Balanced;48;Normal;54;Mixed;Organised;49;Normal;53;Normal;66;Normal;Organised;44;Medium;34;Press;51;Normal;Cover
253;1796;8191;2014-09-19 00:00:00;48;Balanced;32;Little;74;Long;Organised;72;Risky;59;Normal;58;Normal;Organised;54;Medium;57;Press;58;Normal;Cover
254;1796;8191;2015-09-10 00:00:00;54;Balanced;32;Little;67;Long;Organised;72;Risky;57;Normal;47;Normal;Organised;63;Medium;62;Press;58;Normal;Cover
259;210;7819;2014-09-19 00:00:00;62;Balanced;50;Normal;45;Mixed;Organised;48;Normal;54;Normal;53;Normal;Organised;43;Medium;42;Press;51;Normal;Cover
260;210;7819;2015-09-10 00:00:00;62;Balanced;50;Normal;45;Mixed;Organised;48;Normal;54;Normal;53;Normal;Organised;43;Medium;42;Press;51;Normal;Cover
265;1842;8529;2014-09-19 00:00:00;63;Balanced;51;Normal;53;Mixed;Organised;33;Safe;51;Normal;68;Lots;Organised;37;Medium;56;Press;51;Normal;Cover
266;1842;8529;2015-09-10 00:00:00;67;Fast;32;Little;35;Mixed;Organised;69;Risky;58;Normal;69;Lots;Free Form;65;Medium;65;Press;57;Normal;Offside Trap
267;647;7788;2014-09-19 00:00:00;45;Balanced;39;Normal;42;Mixed;Organised;46;Normal;56;Normal;57;Normal;Organised;42;Medium;49;Press;47;Normal;Cover
268;647;7788;2015-09-10 00:00:00;43;Balanced;36;Normal;57;Mixed;Organised;46;Normal;50;Normal;38;Normal;Organised;42;Medium;49;Press;47;Normal;Cover
273;1961;8344;2014-09-19 00:00:00;60;Balanced;29;Little;54;Mixed;Organised;52;Normal;46;Normal;41;Normal;Organised;33;Deep;41;Press;39;Normal;Cover
274;1961;8344;2015-09-10 00:00:00;60;Balanced;41;Normal;67;Long;Organised;52;Normal;56;Normal;46;Normal;Organised;33;Deep;41;Press;39;Normal;Cover
275;112409;208931;2014-09-19 00:00:00;32;Slow;46;Normal;31;Short;Organised;47;Normal;36;Normal;54;Normal;Organised;46;Medium;44;Press;51;Normal;Cover
276;112409;208931;2015-09-10 00:00:00;80;Fast;45;Normal;65;Mixed;Organised;70;Risky;40;Normal;50;Normal;Organised;25;Deep;55;Press;35;Normal;Cover
281;110364;8530;2014-09-19 00:00:00;75;Fast;52;Normal;48;Mixed;Organised;53;Normal;52;Normal;36;Normal;Organised;28;Deep;67;Double;52;Normal;Cover
282;110364;8530;2015-09-10 00:00:00;70;Fast;52;Normal;48;Mixed;Organised;53;Normal;52;Normal;36;Normal;Organised;31;Deep;64;Press;52;Normal;Cover
287;450;9910;2014-09-19 00:00:00;53;Balanced;54;Normal;62;Mixed;Organised;59;Normal;68;Lots;52;Normal;Organised;42;Medium;52;Press;65;Normal;Cover
288;450;9910;2015-09-10 00:00:00;55;Balanced;59;Normal;38;Mixed;Organised;41;Normal;48;Normal;50;Normal;Free Form;55;Medium;55;Press;59;Normal;Cover
293;78;9925;2014-09-19 00:00:00;70;Fast;52;Normal;58;Mixed;Organised;55;Normal;61;Normal;62;Normal;Organised;51;Medium;54;Press;60;Normal;Cover
294;78;9925;2015-09-10 00:00:00;54;Balanced;49;Normal;53;Mixed;Organised;51;Normal;51;Normal;62;Normal;Organised;58;Medium;55;Press;56;Normal;Cover
299;1750;9984;2014-09-19 00:00:00;53;Balanced;49;Normal;43;Mixed;Organised;52;Normal;58;Normal;42;Normal;Organised;59;Medium;47;Press;62;Normal;Cover
300;1750;9984;2015-09-10 00:00:00;53;Balanced;49;Normal;43;Mixed;Organised;52;Normal;58;Normal;42;Normal;Organised;59;Medium;47;Press;62;Normal;Cover
305;110915;9880;2014-09-19 00:00:00;73;Fast;29;Little;41;Mixed;Organised;53;Normal;44;Normal;73;Lots;Organised;39;Medium;49;Press;57;Normal;Cover
306;110915;9880;2015-09-10 00:00:00;66;Balanced;31;Little;41;Mixed;Organised;53;Normal;44;Normal;66;Normal;Organised;39;Medium;49;Press;57;Normal;Cover
311;5;8455;2014-09-19 00:00:00;67;Fast;52;Normal;38;Mixed;Organised;41;Normal;61;Normal;68;Lots;Organised;39;Medium;41;Press;46;Normal;Cover
312;5;8455;2015-09-10 00:00:00;67;Fast;41;Normal;36;Mixed;Organised;41;Normal;34;Normal;44;Normal;Organised;39;Medium;41;Press;46;Normal;Cover
317;192;8533;2014-09-19 00:00:00;66;Balanced;54;Normal;67;Long;Organised;52;Normal;66;Normal;52;Normal;Organised;46;Medium;59;Press;51;Normal;Cover
318;192;8533;2015-09-10 00:00:00;66;Balanced;54;Normal;67;Long;Organised;52;Normal;66;Normal;52;Normal;Organised;46;Medium;59;Press;51;Normal;Cover
323;231;8342;2014-09-19 00:00:00;42;Balanced;52;Normal;45;Mixed;Organised;42;Normal;57;Normal;47;Normal;Organised;51;Medium;50;Press;57;Normal;Cover
324;231;8342;2015-09-10 00:00:00;42;Balanced;52;Normal;45;Mixed;Organised;42;Normal;57;Normal;47;Normal;Organised;51;Medium;50;Press;57;Normal;Cover
329;1867;7869;2014-09-19 00:00:00;40;Balanced;53;Normal;53;Mixed;Organised;40;Normal;66;Normal;48;Normal;Organised;36;Medium;41;Press;52;Normal;Cover
330;1867;7869;2015-09-10 00:00:00;53;Balanced;40;Normal;48;Mixed;Organised;55;Normal;59;Normal;57;Normal;Organised;38;Medium;39;Press;52;Normal;Cover
334;110747;2186;2014-09-19 00:00:00;37;Balanced;50;Normal;38;Mixed;Organised;66;Normal;66;Normal;33;Little;Organised;59;Medium;34;Press;64;Normal;Cover
335;110747;2186;2015-09-10 00:00:00;37;Balanced;50;Normal;38;Mixed;Organised;66;Normal;66;Normal;33;Little;Organised;59;Medium;34;Press;64;Normal;Cover
340;1799;9826;2014-09-19 00:00:00;61;Balanced;36;Normal;68;Long;Organised;67;Risky;62;Normal;52;Normal;Organised;36;Medium;34;Press;48;Normal;Cover
341;1799;9826;2015-09-10 00:00:00;61;Balanced;45;Normal;67;Long;Organised;67;Risky;69;Lots;50;Normal;Organised;36;Medium;34;Press;41;Normal;Cover
342;110502;8262;2015-09-10 00:00:00;59;Balanced;43;Normal;77;Long;Organised;52;Normal;77;Lots;45;Normal;Organised;32;Deep;56;Press;41;Normal;Cover
349;242;9783;2014-09-19 00:00:00;56;Balanced;55;Normal;46;Mixed;Organised;38;Normal;52;Normal;68;Lots;Organised;45;Medium;50;Press;59;Normal;Cover
350;242;9783;2015-09-10 00:00:00;53;Balanced;55;Normal;47;Mixed;Organised;38;Normal;52;Normal;55;Normal;Organised;45;Medium;50;Press;59;Normal;Offside Trap
355;110569;9836;2014-09-19 00:00:00;51;Balanced;54;Normal;49;Mixed;Organised;49;Normal;52;Normal;52;Normal;Organised;45;Medium;46;Press;58;Normal;Cover
